date,Low,High
1/11/2021,1.2132,1.2227
1/12/2021,1.2136,1.2211
1/13/2021,1.214,1.2224
1/14/2021,1.2111,1.218
1/15/2021,1.2074,1.2163
1/18/2021,1.2054,1.2091
1/19/2021,1.2074,1.2146
1/20/2021,1.2077,1.2159
1/21/2021,1.2102,1.2175
1/22/2021,1.2151,1.2191
1/25/2021,1.2115,1.2184
1/26/2021,1.2108,1.2176
1/27/2021,1.2057,1.2171
1/28/2021,1.2079,1.2142
1/29/2021,1.2093,1.2157
2/01/2021,1.2054,1.2146
2/02/2021,1.2011,1.2089
2/03/2021,1.2003,1.2051
2/04/2021,1.1957,1.2043
2/05/2021,1.1952,1.2051
2/08/2021,1.2018,1.2067
2/09/2021,1.2045,1.2123
2/10/2021,1.2108,1.2144
2/11/2021,1.2113,1.215
2/12/2021,1.2081,1.2136
2/15/2021,1.2116,1.2146
2/16/2021,1.2095,1.2171
2/17/2021,1.2022,1.2111
2/18/2021,1.2035,1.2096
2/19/2021,1.2081,1.2145
2/22/2021,1.2091,1.2171
2/23/2021,1.2135,1.218
2/24/2021,1.2109,1.2176
2/25/2021,1.2155,1.2243
2/26/2021,1.2062,1.2186
3/01/2021,1.2027,1.2102
3/02/2021,1.1991,1.2095
3/03/2021,1.2043,1.2114
3/04/2021,1.1961,1.2068
3/05/2021,1.1894,1.1978
3/08/2021,1.1844,1.1933
3/09/2021,1.1835,1.1917
3/10/2021,1.1869,1.1931
3/11/2021,1.1915,1.1991
3/12/2021,1.191,1.199
3/15/2021,1.1911,1.1969
3/16/2021,1.1882,1.1953
3/17/2021,1.1886,1.1986
3/18/2021,1.1906,1.199
3/19/2021,1.1873,1.1939
3/22/2021,1.1871,1.1948
3/23/2021,1.1841,1.1942
3/24/2021,1.1809,1.1854
3/25/2021,1.1761,1.1829
3/26/2021,1.1763,1.1806
3/29/2021,1.1761,1.1797
3/30/2021,1.1712,1.1774
3/31/2021,1.1704,1.1761
4/01/2021,1.1713,1.178
4/02/2021,1.1749,1.1788
4/05/2021,1.1738,1.182
4/06/2021,1.1795,1.1879
4/07/2021,1.186,1.1915
4/08/2021,1.186,1.1928
4/09/2021,1.1867,1.1921
4/12/2021,1.1871,1.192
4/13/2021,1.1879,1.1957
